Uniphone count
<SIL>	574152
AH	2173887
AA	1265225
IH	782797
IY	635761
UH	291296
UW	131837
EY	826853
AE	434136
OW	389794
AO	141900
K	912791
KH	65536
G	250012
GH	16318
CH	127740
CHH	28979
JH	319656
JHH	15185
TT	355872
TTH	21679
DD	270190
DDH	14196
NN	52195
T	468637
TH	112820
D	342994
DH	76913
N	1268271
P	380760
F	110017
B	236863
BH	100158
M	489664
Y	420475
R	1048861
L	435061
W	428056
S	658660
SH	204311
HH	562922
Diphones not covered
GH CH
GH DD
GH DH
JHH GH
JHH TTH
JHH NN
D NN
DH NN
Triphones not covered
<SIL> <SIL> <SIL>
<SIL> <SIL> AH
<SIL> <SIL> AA
<SIL> <SIL> IH
<SIL> <SIL> IY
<SIL> <SIL> UH
<SIL> <SIL> UW
<SIL> <SIL> EY
<SIL> <SIL> AE
<SIL> <SIL> OW
<SIL> <SIL> AO
<SIL> <SIL> K
<SIL> <SIL> KH
<SIL> <SIL> G
<SIL> <SIL> GH
<SIL> <SIL> CH
<SIL> <SIL> CHH
<SIL> <SIL> JH
<SIL> <SIL> JHH
<SIL> <SIL> TT
<SIL> <SIL> TTH
<SIL> <SIL> DD
<SIL> <SIL> DDH
<SIL> <SIL> NN
<SIL> <SIL> T
<SIL> <SIL> TH
<SIL> <SIL> D
<SIL> <SIL> DH
<SIL> <SIL> N
<SIL> <SIL> P
<SIL> <SIL> F
<SIL> <SIL> B
<SIL> <SIL> BH
<SIL> <SIL> M
<SIL> <SIL> Y
<SIL> <SIL> R
<SIL> <SIL> L
<SIL> <SIL> W
<SIL> <SIL> S
<SIL> <SIL> SH
<SIL> <SIL> HH
<SIL> AH IY
<SIL> AH UW
<SIL> AH AE
<SIL> AH OW
<SIL> AH AO
<SIL> AH JHH
<SIL> AA AO
<SIL> AA CHH
<SIL> AA JHH
<SIL> AA NN
<SIL> IH AA
<SIL> IH KH
<SIL> IH GH
<SIL> IH CHH
<SIL> IH JHH
<SIL> IH TTH
<SIL> IY UH
<SIL> IY UW
<SIL> IY AE
<SIL> IY AO
<SIL> IY GH
<SIL> IY CHH
<SIL> IY TTH
<SIL> IY DDH
<SIL> IY F
<SIL> UH AH
<SIL> UH AA
<SIL> UH IY
<SIL> UH UH
<SIL> UH UW
<SIL> UH EY
<SIL> UH AE
<SIL> UH AO
<SIL> UH JHH
<SIL> UH TT
<SIL> UH DDH
<SIL> UH NN
<SIL> UW AA
<SIL> UW IH
<SIL> UW IY
<SIL> UW UH
<SIL> UW UW
<SIL> UW EY
<SIL> UW AE
<SIL> UW OW
<SIL> UW AO
<SIL> UW G
<SIL> UW GH
<SIL> UW CHH
<SIL> UW JHH
<SIL> UW DDH
<SIL> UW TH
<SIL> UW F
<SIL> UW BH
<SIL> UW Y
<SIL> UW W
<SIL> EY IY
<SIL> EY UW
<SIL> EY AE
<SIL> EY AO
<SIL> EY KH
<SIL> EY GH
<SIL> EY JHH
<SIL> EY TTH
<SIL> EY DDH
<SIL> EY DH
<SIL> AE AA
<SIL> AE IH
<SIL> AE IY
<SIL> AE UW
<SIL> AE OW
<SIL> AE CHH
<SIL> AE JHH
<SIL> AE DDH
<SIL> AE NN
<SIL> AE DH
<SIL> AE HH
<SIL> OW IY
<SIL> OW UW
<SIL> OW AO
<SIL> OW GH
<SIL> OW NN
<SIL> OW TH
<SIL> OW DH
<SIL> OW BH
<SIL> AO IH
<SIL> AO IY
<SIL> AO UW
<SIL> AO EY
<SIL> AO AE
<SIL> AO OW
<SIL> AO AO
<SIL> AO KH
<SIL> AO GH
<SIL> AO JHH
<SIL> AO TTH
<SIL> AO DDH
<SIL> AO NN
<SIL> K <SIL>
<SIL> K KH
<SIL> K G
<SIL> K GH
<SIL> K CH
<SIL> K CHH
<SIL> K JH
<SIL> K JHH
<SIL> K TT
<SIL> K TTH
<SIL> K DDH
<SIL> K NN
<SIL> K TH
<SIL> K D
<SIL> K DH
<SIL> K P
<SIL> K F
<SIL> K B
<SIL> K BH
<SIL> KH AO
<SIL> KH K
<SIL> KH KH
<SIL> KH G
<SIL> KH GH
<SIL> KH CH
<SIL> KH JH
<SIL> KH JHH
<SIL> KH TT
<SIL> KH TTH
<SIL> KH DD
<SIL> KH DDH
<SIL> KH NN
<SIL> KH T
<SIL> KH TH
<SIL> KH DH
<SIL> KH P
<SIL> KH F
<SIL> KH B
<SIL> KH BH
<SIL> KH M
<SIL> KH L
<SIL> KH S
<SIL> G <SIL>
<SIL> G K
<SIL> G KH
<SIL> G GH
<SIL> G CH
<SIL> G CHH
<SIL> G JH
<SIL> G JHH
<SIL> G TT
<SIL> G TTH
<SIL> G DD
<SIL> G DDH
<SIL> G NN
<SIL> G T
<SIL> G TH
<SIL> G D
<SIL> G DH
<SIL> G N
<SIL> G P
<SIL> G F
<SIL> G B
<SIL> G BH
<SIL> G M
<SIL> G SH
<SIL> GH AE
<SIL> GH AO
<SIL> GH K
<SIL> GH KH
<SIL> GH G
<SIL> GH GH
<SIL> GH CH
<SIL> GH CHH
<SIL> GH JH
<SIL> GH JHH
<SIL> GH TT
<SIL> GH TTH
<SIL> GH DD
<SIL> GH DDH
<SIL> GH NN
<SIL> GH T
<SIL> GH TH
<SIL> GH D
<SIL> GH DH
<SIL> GH N
<SIL> GH P
<SIL> GH F
<SIL> GH B
<SIL> GH BH
<SIL> GH M
<SIL> GH Y
<SIL> GH W
<SIL> GH S
<SIL> GH SH
<SIL> GH HH
<SIL> CH <SIL>
<SIL> CH K
<SIL> CH KH
<SIL> CH G
<SIL> CH GH
<SIL> CH CHH
<SIL> CH JH
<SIL> CH JHH
<SIL> CH TT
<SIL> CH TTH
<SIL> CH DD
<SIL> CH DDH
<SIL> CH NN
<SIL> CH TH
<SIL> CH D
<SIL> CH DH
<SIL> CH P
<SIL> CH F
<SIL> CH B
<SIL> CH BH
<SIL> CH M
<SIL> CH L
<SIL> CH S
<SIL> CH SH
<SIL> CHH K
<SIL> CHH KH
<SIL> CHH G
<SIL> CHH GH
<SIL> CHH CH
<SIL> CHH CHH
<SIL> CHH JH
<SIL> CHH JHH
<SIL> CHH TT
<SIL> CHH TTH
<SIL> CHH DD
<SIL> CHH DDH
<SIL> CHH NN
<SIL> CHH T
<SIL> CHH TH
<SIL> CHH D
<SIL> CHH DH
<SIL> CHH P
<SIL> CHH B
<SIL> CHH BH
<SIL> CHH W
<SIL> JH <SIL>
<SIL> JH K
<SIL> JH KH
<SIL> JH G
<SIL> JH GH
<SIL> JH CH
<SIL> JH CHH
<SIL> JH JH
<SIL> JH JHH
<SIL> JH TTH
<SIL> JH DD
<SIL> JH DDH
<SIL> JH NN
<SIL> JH T
<SIL> JH TH
<SIL> JH D
<SIL> JH DH
<SIL> JH F
<SIL> JH B
<SIL> JH BH
<SIL> JH M
<SIL> JH R
<SIL> JH L
<SIL> JH S
<SIL> JH SH
<SIL> JH HH
<SIL> JHH AO
<SIL> JHH K
<SIL> JHH KH
<SIL> JHH G
<SIL> JHH GH
<SIL> JHH CH
<SIL> JHH CHH
<SIL> JHH JH
<SIL> JHH JHH
<SIL> JHH TT
<SIL> JHH TTH
<SIL> JHH DD
<SIL> JHH DDH
<SIL> JHH NN
<SIL> JHH T
<SIL> JHH TH
<SIL> JHH D
<SIL> JHH DH
<SIL> JHH P
<SIL> JHH F
<SIL> JHH B
<SIL> JHH BH
<SIL> JHH M
<SIL> JHH Y
<SIL> JHH R
<SIL> JHH L
<SIL> JHH W
<SIL> JHH S
<SIL> JHH SH
<SIL> JHH HH
<SIL> TT <SIL>
<SIL> TT KH
<SIL> TT GH
